รหัสนิสิต,ชื่อ-นามสกุล,เลขที่นั่ง,เลขที่นั่งจริง,ลงชื่อ
6689297621,STUDENT 023,1,,
6750033021,STUDENT 109,2,,
6733317921,STUDENT 071,3,,
6727220721,STUDENT 062,4,,
6785501821,STUDENT 154,5,,
6731057121,STUDENT 069,6,,
6706692221,STUDENT 035,7,,
6756752821,STUDENT 118,8,,
6645666621,STUDENT 015,9,,
6716499121,STUDENT 049,10,,
6710408521,STUDENT 041,11,,
6772526121,STUDENT 136,12,,
6712722821,STUDENT 044,13,,
6754123021,STUDENT 115,14,,
6657600621,STUDENT 017,15,,
6774742821,STUDENT 138,16,,
6749842721,STUDENT 108,17,,
6715696121,STUDENT 047,18,,
6765604721,STUDENT 130,19,,
6720163321,STUDENT 056,20,,
6543950921,STUDENT 003,22,,
6738250021,STUDENT 085,23,,
6785863221,STUDENT 155,24,,
6763326021,STUDENT 127,25,,
6782020721,STUDENT 151,26,,
6713837421,STUDENT 046,27,,
6718793221,STUDENT 053,28,,
6741490221,STUDENT 094,29,,
6777329521,STUDENT 144,32,,
